preset name,cc 0,PGM,type,characters
udon,34,83,keys,analog + warm
udon v2,34,84,keys,analog + warm
va bass 1,34,85,bass,analog + warm
va bass 2,34,86,bass,analog + warm
va brass 1,34,87,brass,analog + warm
va keys 1,34,88,keys,analog + warm
va keys 2,34,89,keys,analog + warm
va keys 3,34,90,keys,analog + warm
va leads 1,34,91,lead,analog + warm
va pads 1,34,92,bass,analog + warm
va pads 2,34,93,pads,analog + warm
va pads 3,34,94,pads,analog + warm
violens,34,95,bowed,acoustic + clean + intimate
vorelso,34,96,pads,airy + layered + vocal
acid bass,30,1,bass,aggressive + analog + distorted + stereo
acouskop,30,2,bass,acoustic + distorted + fm + shaking
bass distosine,30,31,bass,acoustic + synthetic
bass monster,30,32,bass,analog + distorted + portamento + synthetic
chordead,30,74,bass,analog + chords
deep corners,30,108,bass,analog + chords
dirt acid,30,112,bass,analog + distorted
doubleslap,30,119,bass,acoustic + shaking + warm + woody
edgy fm,30,127,bass,fm
eighty neon,31,3,bass,analog
electric bass 1,31,5,bass,acoustic + electric
electric bass 2,31,6,bass,acoustic + electric
fat model d,31,29,bass,analog + big + noise + portamento + warm
flunkly,31,36,bass,analog
fm darkness,31,43,bass,aggressive + big + dark + digital + dry + ensemble + fm + noise
fm doublebass,31,44,bass,clean + fm + portamento
fm slapman,31,50,bass,bright + digital + fm + metallic + stereo
forgotten animal,31,54,bass,analog + fm + portamento
forty eight db,31,55,bass,analog + distorted
fourad,31,56,bass,analog + distorted
fretless bass,31,57,bass,acoustic + portamento
grittysaw,31,76,bass,analog + distorted
hollowrez,31,86,bass,analog
juknow that bass,31,107,bass,analog + big + clean + simple + soft + stereo
kinespeech,31,121,bass,analog + vocal
lacous bass,32,5,bass,acoustic + portamento
ladder bass,32,7,bass,analog + lfo + synthetic
night bass,32,58,bass,analog + portamento
outspoken,32,92,bass,analog
piercing bass,32,109,bass,aggressive + big + dark + digital
pl-bass,32,114,bass,analog + dry + warm
pulzz,32,126,bass,analog
reesotto,33,5,bass,aggressive + digital
reesy rider,33,6,bass,aggressive + analog + distorted + stereo
rusty bass,33,19,bass,dark + digital + fm + soft
rusty square,33,20,bass,analog + distorted
simpledecay,33,39,bass,analog + distorted
simplerez,33,41,bass,analog
smooth operator,33,48,bass,acoustic + fm
solid square,33,49,bass,analog
steroids,33,68,bass,analog + noise
sub bass 1,33,74,bass,analog
subway,33,75,bass,analog + clean + dark + fm + simple
syncat,33,77,bass,analog
thrilla bass,33,95,bass,analog + dry
velsquare,33,114,bass,analog
vintage wide bass,33,119,bass,analog + big + dark + portamento + soft + stereo + warm
walking blues,33,125,bass,acoustic
wallface,33,127,bass,digital + fm + portamento
archer,30,20,bowed,acoustic
bowreal lights,30,51,bowed,acoustic + layered + reverberant
cellove,30,66,bowed,acoustic + portamento
cellovir,30,67,bowed,acoustic
chamber mellobow,30,68,bowed,acoustic + ensemble + lofi + stereo
chamber strings,30,69,bowed,acoustic + clean + ensemble
duocello,30,120,bowed,acoustic + portamento
erumi,31,22,bowed,acoustic
harmod,31,82,bowed,acoustic + portamento
hybrid strings 1,31,92,bowed,analog
hybrid strings 2,31,93,bowed,analog + lofi + noise
hybrid strings 3,31,94,bowed,acoustic + analog
lost ensemble,32,27,bowed,acoustic + analog + reverberant
noisyman,32,61,bowed,acoustic
noisypad,32,62,bowed,acoustic + noise
numens strings,32,67,bowed,acoustic
pajestric,32,98,bowed,layered
pcs dandelion,32,104,bowed,bright + echo + evolving + icy + portamento + synthetic
pressow,32,123,bowed,acoustic
roto string,33,18,bowed,acoustic + airy + lfo + noise
scie tard,33,24,bowed,acoustic + portamento
stringtroen,33,73,bowed,acoustic
trepizcato,33,101,bowed,acoustic
viollaggio,33,120,bowed,acoustic
violloiv,33,121,bowed,acoustic + echo
vln vla cel bass 2,33,122,bowed,acoustic + clean
babrass,30,23,brass,acoustic
brass fm,30,52,brass,acoustic + fm + portamento
brass fm2,30,53,brass,acoustic + fm + portamento
brass fm3,30,54,brass,acoustic + portamento
brassimple,30,55,brass,analog
brassy,30,57,brass,acoustic
cosmic blues,30,92,brass,acoustic + portamento
cvc 1,30,102,brass,voice
cvc 2,30,103,brass,voices
cvc 4,30,104,brass,voices
essendar,31,23,brass,
fancy brass,31,28,brass,bright + chords + ensemble + lfo + stereo
fm brassypoly,31,41,brass,clean + digital + ensemble + fm + soft + stereo
futazz,31,61,brass,analog
gimmirez,31,69,brass,analog
